"line","text","screenname","time","searchterm","location","followerscount","favoritescount","lat","lng","coords_coords","bbox_coords","geo_coords"
77,"A mini mini class of 1981 reunion at Ring Weekend for the Class of 2020.  Two proud dads from the Class of 81 with their daughters, Class of 2020, after they received their Class ring.  L to R, Hannah and Paul Buechner with Jess and Amy Ziccarello. #StrengthAsOne #OGAF @WPAOG https://t.co/7KUROmY4Yb","USMA1981",2019-11-13 23:51:18,"WPAOG","",46,1,NA,NA,NA,NA,NA
78,"These Guppies (G-4) spent last weekend in the sun, heat and on the fairways around Naples, FL.  Mini reunions are awesome! Thanks for the pic, Jack Bowen! #StrengthAsOne #OGAF #WestPoint @WPAOG https://t.co/vaUO7S8zA4","USMA1981",2019-11-13 23:38:28,"WPAOG","",46,0,NA,NA,NA,NA,NA
79,"Mil Art Instructors held a collaborative workshop with the Mounger Writing Center to assist cadets in writing their term paper.  Cadet Brandi Braggs led the workshop. @WPAOG @WestPointParent @WestPoint_USMA @DeanUsma https://t.co/ZdVnFpFfsL","westpointhist",2019-11-13 17:00:41,"WPAOG","West Point, NY",1898,15,NA,NA,NA,NA,NA
80,"@WPAOG Happy Birthday! I know she must been an excellent doctor - her patients are fortunate- keep strengthening the long grey line - Hooah!","barnabusludwig",2019-11-13 14:15:23,"WPAOG","New York, USA",1359,0,NA,NA,NA,NA,NA
81,"@WPAOG As an “old grad” (66), I was skeptical about the admission of women to West Point. I have become their biggest fan.","raudibert",2019-11-13 11:53:14,"WPAOG","Clermont, FL",6,0,NA,NA,NA,NA,NA
82,"#oralhistory Ken Carlson (USMA '66) describes an incident at the #BerlinWall in 1964 and how it shaped his understanding of the meaning of freedom. The Berlin Wall fell 30 years ago.

Watch his full interview here:  https://t.co/9jjnefin8u

 @WPAOG @WestPoint_USMA @westpointhist https://t.co/6WLuswgDtG","WestPointCOH",2019-11-08 22:13:07,"WPAOG","West Point, NY",1047,10,NA,NA,NA,NA,NA
83,"#oralhistory Sonny Busa (USMA 76) - Soldier, Diplomat, Professor - @WPAOG @WestPoint_USMA He talks about serving as an Infantry Officer, and a State Department Diplomat.  He taught at West Point and at the Philippine Military Academy.
Watch his interview: https://t.co/HAaYVCts4f https://t.co/RPr3T1DyU8","WestPointCOH",2019-11-12 20:33:47,"WPAOG","West Point, NY",1047,6,NA,NA,NA,NA,NA
84,"Happy birthday, classmate! First woman to graduate #1 from West Point! https://t.co/Ggpq7cnq0O","baltenburg",2019-11-12 14:29:00,"WPAOG","Chicago, IL",541,13,NA,NA,NA,NA,NA
85,"#WithHonorWeStrive! https://t.co/Ze5am0u8Pe","USMA_1995",2019-11-12 14:23:33,"WPAOG","West Point, NY",156,23,NA,NA,NA,NA,NA
86,"@WPAOG Happy Birthday Becca","AmyMathiew",2019-11-12 14:21:48,"WPAOG","Louisiana, USA",207,1,NA,NA,NA,NA,NA
